token,lemma,pronoun_type
kultuuriministeeriu-milt,kultuuriministeeriu-mis,"('inter rel',)"
kulu-ma,kulu-mina,"('pers ps1',)"
kum-ma,kum-mina,"('pers ps1',)"
kum-ma-li-sel,kum-ma-li-see,"('dem',)"
kumb,kumb,"('rel',)"
kumba,kumb,"('rel',)"
kumbade,kumb,"('rel',)"
kumbadega,kumb,"('rel',)"
kumbagi,kumbki,"('det',)"
kumbasid,kumb,"('rel',)"
kumbi,kumb,"('rel',)"
kumbki,kumbki,"('det',)"
kumma,kumb,"('rel',)"
kummad,kumb,"('rel',)"
kummadki,kumb,"('rel',)"
kummaga,kumb,"('rel',)"
kummagagi,kumbki,"('det',)"
kummagi,kumbki,"('det',)"
kummaks,kumb,"('rel',)"
kummakski,kumbki,"('det',)"
kummal,kumb,"('rel',)"
kummale,kumb,"('rel',)"
kummalegi,kumbki,"('det',)"
kummalgi,kumbki,"('det',)"
kummalt,kumb,"('rel',)"
kummaltki,kumbki,"('det',)"
kummana,kumb,"('rel',)"
kummas,kumb,"('rel',)"
kummaski,kumbki,"('det',)"
kummasse,kumb,"('rel',)"
kummassegi,kumbki,"('det',)"
kummast,kumb,"('rel',)"
kummastki,kumbki,"('det',)"
kummatagi,kumbki,"('det',)"
kummilooma-taoliseks,kummilooma-taoline,"('dem',)"
kummma,kumb,"('rel',)"
kuningas.mis,kuningas.mis,"('inter rel',)"
kunstnik-ise,kunstnik-ise,"('pos', 'det', 'refl')"
kunstniku-mina,kunstniku-mina,"('pers ps1',)"
kur-su-sel,kur-su-see,"('dem',)"
kur-sus,kur-sina,"('pers ps2',)"
kurat-teab-kes,kurat-teab-kes,"('inter rel',)"
kurat-teab-mida,kurat-teab-mis,"('inter rel',)"
kurat-teab-mille,kurat-teab-mis,"('inter rel',)"
kurat-teab-milleks,kurat-teab-mis,"('inter rel',)"
kurat-teab-millele,kurat-teab-mis,"('inter rel',)"
kurat-teab-millest,kurat-teab-mis,"('inter rel',)"
kurat-teab-mis,kurat-teab-mis,"('inter rel',)"
kurat.ma,kurat.mina,"('pers ps1',)"
kurjategijad-mina,kurjategijad-mina,"('pers ps1',)"
kursu-sest,kursu-see,"('dem',)"
kus-kellel,kus-kes,"('inter rel',)"
kus-kes,kus-kes,"('inter rel',)"
kus-mis,kus-mis,"('inter rel',)"
kus-see,kus-see,"('dem',)"
kus-see-ja-teine,kus-see-ja-teine,"('dem',)"
kusagil-keegi-miski,kusagil-keegi-miski,"('indef',)"
kut-se-ha-ri-du-ses,kut-se-ha-ri-du-see,"('dem',)"
kut-su,kut-sina,"('pers ps2',)"
kut-su-ma,kut-su-mina,"('pers ps1',)"
kut-sus,kut-sina,"('pers ps2',)"
kuu-mus,kuu-mina,"('pers ps1',)"
kuu-ta-su,kuu-ta-sina,"('pers ps2',)"
kuul-sa,kuul-sina,"('pers ps2',)"
kuul-sust,kuul-sina,"('pers ps2',)"
kuulamise-nautimise-sellest,kuulamise-nautimise-see,"('dem',)"
kuulata.te,kuulata.sina,"('pers ps2',)"
kuulda.te,kuulda.sina,"('pers ps2',)"
kuule.ma,kuule.mina,"('pers ps1',)"
kuulge-see,kuulge-see,"('dem',)"
kuulihaava-üks,kuulihaava-üks,"('dem', 'indef')"
kuulipildujapesa-taoliste,kuulipildujapesa-taoline,"('dem',)"
kuulitõu-kes,kuulitõu-kes,"('inter rel',)"
kuulu-tas,kuulu-tema,"('pers ps3',)"
kuuluta-ma,kuuluta-mina,"('pers ps1',)"
kuuluvu-sest,kuuluvu-see,"('dem',)"
kuus.mõni,kuus.mõni,"('indef',)"
kuutöö-ta-sust,kuutöö-ta-sina,"('pers ps2',)"
kyll.endal,kyll.ise,"('pos', 'det', 'refl')"
kyll.ma,kyll.mina,"('pers ps1',)"
kÕigil,kõik,"('det',)"
kÕigis,kõik,"('det',)"
kÕik,kõik,"('det',)"
kÕikidest,kõik,"('det',)"
kä-su,kä-sina,"('pers ps2',)"
käi-ma,käi-mina,"('pers ps1',)"
käi-mis-,käi-mis,"('inter rel',)"
käi-tu-ma,käi-tu-mina,"('pers ps1',)"
käi-tu-mi-selt,käi-tu-mi-see,"('dem',)"
käi-vi-ta-mi-seks,käi-vi-ta-mi-see,"('dem',)"
käib-kes,käib-kes,"('inter rel',)"
käisid-ma,käisid-mina,"('pers ps1',)"
kämbi-mina,kämbi-mina,"('pers ps1',)"
käsilasedTeise,käsilasedteine,"('dem',)"
käsutu-ses,käsutu-see,"('dem',)"
kätte.enda,kätte.ise,"('pos', 'det', 'refl')"
kätte.mul,kätte.mina,"('pers ps1',)"
kättesaami-seks,kättesaami-see,"('dem',)"
kõhnake-seks,kõhnake-see,"('dem',)"
kõhulahti-sus,kõhulahti-sina,"('pers ps2',)"
kõiKE,kõik,"('det',)"
kõige,kõik,"('det',)"
kõige-,kõik,"('det',)"
kõige-kõige,kõige-kõik,"('det',)"
kõige-kõige-kõige,kõige-kõige-kõik,"('det',)"
kõige-kõige-kõigeks,kõige-kõige-kõik,"('det',)"
kõige-kõigega,kõige-kõik,"('det',)"
kõige-kõigeks,kõige-kõik,"('det',)"
kõige-kõigest,kõige-kõik,"('det',)"
kõige-sellist,kõige-selline,"('dem',)"
kõigega,kõik,"('det',)"
kõigeks,kõik,"('det',)"
kõigel,kõik,"('det',)"
kõigele,kõik,"('det',)"
kõigele-kõigile,kõigele-kõik,"('det',)"
kõigelt,kõik,"('det',)"
kõigena,kõik,"('det',)"
kõigeni,kõik,"('det',)"
kõiges,kõik,"('det',)"
kõiges-,kõik,"('det',)"
kõiges-kõiges,kõiges-kõik,"('det',)"
kõigesse,kõik,"('det',)"
kõigest,kõik,"('det',)"
kõigest-kõigest,kõigest-kõik,"('det',)"
kõigest-kõike,kõigest-kõik,"('det',)"
kõigestki,kõik,"('det',)"
kõigeta,kõik,"('det',)"
kõigi,kõik,"('det',)"
kõigi-kõigi,kõigi-kõik,"('det',)"
kõigiga,kõik,"('det',)"
kõigiks,kõik,"('det',)"
kõigil,kõik,"('det',)"
kõigile,kõik,"('det',)"
kõigile-,kõik,"('det',)"
kõigile-kõigele,kõigile-kõik,"('det',)"
kõigile-kõigile,kõigile-kõik,"('det',)"
kõigile-kõigile-kõigile,kõigile-kõigile-kõik,"('det',)"
kõigile_,kõik,"('det',)"
kõigilegi,kõik,"('det',)"
kõigilt,kõik,"('det',)"
kõigini,kõik,"('det',)"
kõigis,kõik,"('det',)"
kõigisse,kõik,"('det',)"
kõigist,kõik,"('det',)"
kõigita,kõik,"('det',)"
kõik,kõik,"('det',)"
kõik-,kõik,"('det',)"
kõik-kõigile,kõik-kõik,"('det',)"
kõik-kõik,kõik-kõik,"('det',)"
kõik-kõik-kõik,kõik-kõik-kõik,"('det',)"
kõik-on-üks,kõik-on-üks,"('det',)"
kõik-tunnevad-kõiki,kõik-tunnevad-kõik,"('det',)"
kõik-või-mitte-midagi,kõik-või-mitte-miski,"('det',)"
kõik-ühes,kõik-üks,"('det',)"
kõik.nad,kõik.tema,"('det',)"
kõike,kõik,"('det',)"
kõike-,kõik,"('det',)"
kõike-kõike,kõike-kõik,"('det',)"
kõiki,kõik,"('det',)"
kõiki-,kõik,"('det',)"
kõiki-kõiki,kõiki-kõik,"('det',)"
kõikide,kõik,"('det',)"
kõikidega,kõik,"('det',)"
kõikideks,kõik,"('det',)"
kõikidel,kõik,"('det',)"
kõikidele,kõik,"('det',)"
kõikidelt,kõik,"('det',)"
kõikideni,kõik,"('det',)"
kõikides,kõik,"('det',)"
kõikidesse,kõik,"('det',)"
kõikidessse,kõik,"('det',)"
kõikidest,kõik,"('det',)"
kõikigi,kõik,"('det',)"
kõikisid,kõik,"('det',)"
kõikki,kõik,"('det',)"
kõmmutada.teised,kõmmutada.teine,"('dem',)"
kõn-di-ma,kõn-di-mina,"('pers ps1',)"
kõrge-ma,kõrge-mina,"('pers ps1',)"
kõrge-te,kõrge-sina,"('pers ps2',)"
kõrgkooli-taolise,kõrgkooli-taoline,"('dem',)"
kõrilaulu-taoliste,kõrilaulu-taoline,"('dem',)"
kõrvalistmele.üks,kõrvalistmele.üks,"('dem', 'indef')"
kõrvetise-taolised,kõrvetise-taoline,"('dem',)"
kõrvu-ta-mi-sel,kõrvu-ta-mi-see,"('dem',)"
kõva.mingi,kõva.mingi,"('indef',)"
kõõ-ma,kõõ-mina,"('pers ps1',)"
körgklass-seda,körgklass-see,"('dem',)"
kü-si-must,kü-si-mina,"('pers ps1',)"
küberinime-seks,küberinime-see,"('dem',)"
kül-ma,kül-mina,"('pers ps1',)"
küla-ke-ses,küla-ke-see,"('dem',)"
küla-va-he-teid,küla-va-he-sina,"('pers ps2',)"
külas-ta-mi-seks,külas-ta-mi-see,"('dem',)"
külas.ta,külas.tema,"('pers ps3',)"
külgkorviga.see,külgkorviga.see,"('dem',)"
küll-ma,küll-mina,"('pers ps1',)"
küll.ma,küll.mina,"('pers ps1',)"
küll.mul,küll.mina,"('pers ps1',)"
küll.ta,küll.tema,"('pers ps3',)"
külmetu-sest,külmetu-see,"('dem',)"
küm-me,küm-mina,"('pers ps1',)"
küm-neid,küm-see,"('dem',)"
küm-neid,küm-tema,"('pers ps3',)"
kümme-üksteist,kümme-üksteise,"('pos', 'det', 'refl')"
küp-seks,küp-see,"('dem',)"
küsi-ma,küsi-mina,"('pers ps1',)"
küsi-mus,küsi-mina,"('pers ps1',)"
küsi-must,küsi-mina,"('pers ps1',)"
küsi.ise,küsi.ise,"('pos', 'det', 'refl')"
küsimu-ses,küsimu-see,"('dem',)"
küsimu-sest,küsimu-see,"('dem',)"
küsimus-mida,küsimus-mis,"('inter rel',)"
küsimus-milleks,küsimus-mis,"('inter rel',)"
küsin-ise,küsin-ise,"('pos', 'det', 'refl')"
küsitlu-sest,küsitlu-see,"('dem',)"
kütu-ses,kütu-see,"('dem',)"
küüni-li-selt,küüni-li-see,"('dem',)"
l-kumma,l-kumb,"('rel',)"
lOma,loma,"('pos', 'det', 'refl')"
lPaljudes,lpalju,"('indef',)"
la-hen-da-mi-seks,la-hen-da-mi-see,"('dem',)"
la-hen-da-mi-sel,la-hen-da-mi-see,"('dem',)"
laboratooriu-mis,laboratooriu-mis,"('inter rel',)"
lae-ku-ma,lae-ku-mina,"('pers ps1',)"
lae-nu-sum-ma,lae-nu-sum-mina,"('pers ps1',)"
lae-nu-too-teid,lae-nu-too-sina,"('pers ps2',)"
lah-ku-ma,lah-ku-mina,"('pers ps1',)"
lahe.mulle,lahe.mina,"('pers ps1',)"
lahendu-seks,lahendu-see,"('dem',)"
lahendus-see,lahendus-see,"('dem',)"
laheneb.see,laheneb.see,"('dem',)"
lahinguval-mis,lahinguval-mis,"('inter rel',)"
lahkumi-sel,lahkumi-see,"('dem',)"
lahkumi-sest,lahkumi-see,"('dem',)"
laiba.see,laiba.see,"('dem',)"
laien-da-mi-sest,laien-da-mi-see,"('dem',)"
laisk.ise,laisk.ise,"('pos', 'det', 'refl')"
laiu-sest,laiu-see,"('dem',)"
lambist.see,lambist.see,"('dem',)"
lameussi-taoline,lameussi-taoline,"('dem',)"
lameussi-taolisena,lameussi-taoline,"('dem',)"
lampjalg-sus,lampjalg-sina,"('pers ps2',)"
lan-ge-ta-mi-sel,lan-ge-ta-mi-see,"('dem',)"
lange-tas,lange-tema,"('pers ps3',)"
langetanud-see,langetanud-see,"('dem',)"
laos-tas,laos-tema,"('pers ps3',)"
lap-sest,lap-see,"('dem',)"
lapse-iga,lapse-iga,"('det',)"
lapsehoidja-tolle,lapsehoidja-too,"('dem',)"
lapsevane-ma,lapsevane-mina,"('pers ps1',)"
las-te-,las-sina,"('pers ps2',)"
lask-ma,lask-mina,"('pers ps1',)"
laste-naiste-omasuguste,laste-naiste-omasugune,"('dem',)"
lasteaia-iga,lasteaia-iga,"('det',)"
lau-luvõist-lu-sel,lau-luvõist-lu-see,"('dem',)"
lau-sa,lau-sina,"('pers ps2',)"
lau-sus,lau-sina,"('pers ps2',)"
lauake-kata-end,lauake-kata-ise,"('pos', 'det', 'refl')"
lauakest-kata-end,lauakest-kata-ise,"('pos', 'det', 'refl')"
lauavõitlu-ses,lauavõitlu-see,"('dem',)"
laudu-mida,laudu-mis,"('inter rel',)"
lauliku-mina,lauliku-mina,"('pers ps1',)"
lauluga-seda,lauluga-see,"('dem',)"
lauluväljaku-taolist,lauluväljaku-taoline,"('dem',)"
laupäeva-ses,laupäeva-see,"('dem',)"
lauto-taoline,lauto-taoline,"('dem',)"
lavastu-ses,lavastu-see,"('dem',)"
le-gaal-selt,le-gaal-see,"('dem',)"
le-pi-me,le-pi-mina,"('pers ps1',)"
lee-ven-da-mi-seks,lee-ven-da-mi-see,"('dem',)"
leedulas-te,leedulas-sina,"('pers ps2',)"
lehekülge-ühel,lehekülge-üks,"('dem', 'indef')"
lehekülge.mõned,lehekülge.mõni,"('indef',)"
lehmakostüü-mis,lehmakostüü-mis,"('inter rel',)"
lehtedega-kõik,lehtedega-kõik,"('det',)"
leiabSinu,leiabsina,"('pers ps2',)"
leid-ma,leid-mina,"('pers ps1',)"
leidmi-seks,leidmi-see,"('dem',)"
leidmi-sest,leidmi-see,"('dem',)"
leige-milleks,leige-mis,"('inter rel',)"
leiutami-sest,leiutami-see,"('dem',)"
lenda-ma,lenda-mina,"('pers ps1',)"
lennata.milline,lennata.milline,"('rel',)"
lennu-pile-teid,lennu-pile-sina,"('pers ps2',)"
lep-pi-ma,lep-pi-mina,"('pers ps1',)"
lepatriinu-taolist,lepatriinu-taoline,"('dem',)"
leppi-ma,leppi-mina,"('pers ps1',)"
leppinud.see,leppinud.see,"('dem',)"
levimi-seks,levimi-see,"('dem',)"
li-gilä-he-da-selt,li-gilä-he-da-see,"('dem',)"
li-gipää-su,li-gipää-sina,"('pers ps2',)"
li-sa,li-sina,"('pers ps2',)"
li-sama,li-sama,"('dem',)"
libedu-sest,libedu-see,"('dem',)"
libi-ses,libi-see,"('dem',)"
light.teistel,light.teine,"('dem',)"
liht-sa,liht-sina,"('pers ps2',)"
liht-sus-tu-ma,liht-sus-tu-mina,"('pers ps1',)"
lihtsaks.me,lihtsaks.mina,"('pers ps1',)"
lihtsalt-meeldib-ja-kõik,lihtsalt-meeldib-ja-kõik,"('det',)"
lii-da-me,lii-da-mina,"('pers ps1',)"
lii-ku-mi-sest,lii-ku-mi-see,"('dem',)"
lii-tu-mi-saas-tal,lii-tu-mi-saas-tema,"('pers ps3',)"
lii-tu-mi-sest,lii-tu-mi-see,"('dem',)"
liidumaa-taoline,liidumaa-taoline,"('dem',)"
liig-selt,liig-see,"('dem',)"
liiga-palju,liiga-palju,"('indef',)"
liik-me,liik-mina,"('pers ps1',)"
liik-me-ta-su,liik-me-ta-sina,"('pers ps2',)"
liik-meid,liik-mina,"('pers ps1',)"
liik.neid,liik.see,"('dem',)"
liik.neid,liik.tema,"('pers ps3',)"
liiki-nad,liiki-tema,"('pers ps3',)"
liikluskorraldu-ses,liikluskorraldu-see,"('dem',)"
liikme-te,liikme-sina,"('pers ps2',)"
liikumi-ses,liikumi-see,"('dem',)"
liivakasti-mina-ise,liivakasti-mina-ise,"('pos', 'det', 'refl')"
link.teie,link.sina,"('pers ps2',)"
linna-see,linna-see,"('dem',)"
linnavalitsu-selt,linnavalitsu-see,"('dem',)"
lo-hu-tas,lo-hu-tema,"('pers ps3',)"
loa-ta,loa-tema,"('pers ps3',)"
lockingut-see,lockingut-see,"('dem',)"
lollid.mõni,lollid.mõni,"('indef',)"
loo-dus-kait-ses,loo-dus-kait-see,"('dem',)"
loo-ma,loo-mina,"('pers ps1',)"
loo-ma-,loo-mina,"('pers ps1',)"
loo-mi-seks,loo-mi-see,"('dem',)"
loo-mult,loo-mina,"('pers ps1',)"
loo-mupä-ra-selt,loo-mupä-ra-see,"('dem',)"
loo-ta,loo-tema,"('pers ps3',)"
loobu-ma,loobu-mina,"('pers ps1',)"
loobumi-seks,loobumi-see,"('dem',)"
loobumi-sest,loobumi-see,"('dem',)"
loodu-ses,loodu-see,"('dem',)"
loodu-sest,loodu-see,"('dem',)"
loodusnähtusteni.sama,loodusnähtusteni.sama,"('dem',)"
loogiline.kõik,loogiline.kõik,"('det',)"
looja-mina,looja-mina,"('pers ps1',)"
loomakliiniku-taolise,loomakliiniku-taoline,"('dem',)"
loomapidami-sest,loomapidami-see,"('dem',)"
loominguli-sust,loominguli-sina,"('pers ps2',)"
loomuoma-ses,loomuoma-see,"('dem',)"
loot-ma,loot-mina,"('pers ps1',)"
love-taolises,love-taoline,"('dem',)"
low-end,low-ise,"('pos', 'det', 'refl')"
lubadusi-mis,lubadusi-mis,"('inter rel',)"
lugeda.ma,lugeda.mina,"('pers ps1',)"
lugeda.me,lugeda.mina,"('pers ps1',)"
lugeda.meie,lugeda.mina,"('pers ps1',)"
lugemata-palju,lugemata-palju,"('indef',)"
lugu-mingi,lugu-mingi,"('indef',)"
lugu.ühte,lugu.üks,"('dem', 'indef')"
lumehelbe-meil,lumehelbe-mina,"('pers ps1',)"
luule-mina,luule-mina,"('pers ps1',)"
luuseritSinu,luuseritsina,"('pers ps2',)"
lä-bi-ma,lä-bi-mina,"('pers ps1',)"
lä-bi-mi-seks,lä-bi-mi-see,"('dem',)"
lä-hi-ma,lä-hi-mina,"('pers ps1',)"
läbi-mida,läbi-mis,"('inter rel',)"
läbi.seda,läbi.see,"('dem',)"
läbi.selles,läbi.see,"('dem',)"
läbilaskevõi-me,läbilaskevõi-mina,"('pers ps1',)"
läbilöömi-seks,läbilöömi-see,"('dem',)"
läbimi-seks,läbimi-see,"('dem',)"
läbirääkimis-te,läbirääkimis-sina,"('pers ps2',)"
läh-me,läh-mina,"('pers ps1',)"
lähe-ise,lähe-ise,"('pos', 'det', 'refl')"
läheb.seda,läheb.see,"('dem',)"
läheb.sest,läheb.see,"('dem',)"
lähinaabri-te,lähinaabri-sina,"('pers ps2',)"
lähme-näitame-neile,lähme-näitame-see,"('dem',)"
lähme-näitame-neile,lähme-näitame-tema,"('pers ps3',)"
läi-ki-ma,läi-ki-mina,"('pers ps1',)"
lää-ne-mai-sest,lää-ne-mai-see,"('dem',)"
läänekaga.paljud,läänekaga.palju,"('indef',)"
läänepool-sest,läänepool-see,"('dem',)"
lõ-pe-ta-ma,lõ-pe-ta-mina,"('pers ps1',)"
lõbus-mul,lõbus-mina,"('pers ps1',)"
lõh-kes,lõh-kes,"('inter rel',)"
lõhestumisega.need,lõhestumisega.see,"('dem',)"
lõhku-ma,lõhku-mina,"('pers ps1',)"
lõi-kes,lõi-kes,"('inter rel',)"
lõikami-ses,lõikami-see,"('dem',)"
lõiku-sest,lõiku-see,"('dem',)"
lõk-su,lõk-sina,"('pers ps2',)"
lõk-sus,lõk-sina,"('pers ps2',)"
lõkke.sest,lõkke.see,"('dem',)"
lõpamtus.see,lõpamtus.see,"('dem',)"
lõpe-tas,lõpe-tema,"('pers ps3',)"
lõpp-palju,lõpp-palju,"('indef',)"
lõppes25-selt,lõppes25-see,"('dem',)"
lõppkokkuvõttes-nende,lõppkokkuvõttes-see,"('dem',)"
lõppkokkuvõttes-nende,lõppkokkuvõttes-tema,"('pers ps3',)"
lõpuminu-teil,lõpuminu-sina,"('pers ps2',)"
lõu-nad,lõu-tema,"('pers ps3',)"
lõuna-pool-sei-ma,lõuna-pool-sei-mina,"('pers ps1',)"
lõunaos-sa,lõunaos-sina,"('pers ps2',)"
lõvio-sa,lõvio-sina,"('pers ps2',)"
löö-ma,löö-mina,"('pers ps1',)"
lühia-ja-li-sel,lühia-ja-li-see,"('dem',)"
lühia-ja-li-selt,lühia-ja-li-see,"('dem',)"
lühinä-ge-lik-ku-ses,lühinä-ge-lik-ku-see,"('dem',)"
lülitami-seks,lülitami-see,"('dem',)"
m-ma,m-mina,"('pers ps1',)"
m-mida,m-mis,"('inter rel',)"
m-mis,m-mis,"('inter rel',)"
m2-sel,m2-see,"('dem',)"
m6ju.ise,m6ju.ise,"('pos', 'det', 'refl')"
mEILE,mina,"('pers ps1',)"
mINd,mina,"('pers ps1',)"
mIS,mis,"('inter rel',)"
mItMeId,mItmina,"('pers ps1',)"
ma,mina,"('pers ps1',)"
ma-,mina,"('pers ps1',)"
ma-armastan-sind,ma-armastan-sina,"('pers ps2',)"
ma-da-la-ma,ma-da-la-mina,"('pers ps1',)"
ma-ei-tea-kes,ma-ei-tea-kes,"('inter rel',)"
ma-ei-tea-mida,ma-ei-tea-mis,"('inter rel',)"
ma-ei-tea-millega,ma-ei-tea-mis,"('inter rel',)"
ma-ei-tea-mis,ma-ei-tea-mis,"('inter rel',)"
ma-ei-tea-mitme,ma-ei-tea-mitu,"('indef',)"
ma-ei-tea-mitmendal,ma-ei-tea-mitmes,"('inter rel', 'indef')"
ma-ei-tea-mitmendat,ma-ei-tea-mitmes,"('inter rel', 'indef')"
ma-ei-tea-mitut,ma-ei-tea-mitu,"('indef',)"
ma-ei-teagi-mida-või-keda,ma-ei-teagi-mida-või-kes,"('inter rel',)"
ma-gist-ri-ta-se-me,ma-gist-ri-ta-se-mina,"('pers ps1',)"
ma-jan-da-mi-seks,ma-jan-da-mi-see,"('dem',)"
ma-jan-da-mi-sel,ma-jan-da-mi-see,"('dem',)"
ma-jan-du-sel,ma-jan-du-see,"('dem',)"
ma-jan-du-ses,ma-jan-du-see,"('dem',)"
ma-jan-du-sest,ma-jan-du-see,"('dem',)"
ma-kuulsin-kusagilt-midagi,ma-kuulsin-kusagilt-miski,"('indef',)"
ma-ma,ma-mina,"('pers ps1',)"
ma-sen-du-ses,ma-sen-du-see,"('dem',)"
maail-ma,maail-mina,"('pers ps1',)"
maailm-meie,maailm-mina,"('pers ps1',)"
maailm.need,maailm.see,"('dem',)"
maailm_______mina,maailmmina,"('pers ps1',)"
maailma.ma,maailma.mina,"('pers ps1',)"
maandu-ma,maandu-mina,"('pers ps1',)"
maasikakasvatu-sest,maasikakasvatu-see,"('dem',)"
maavalit-sus,maavalit-sina,"('pers ps2',)"
maavalitsu-sel,maavalitsu-see,"('dem',)"
made-me,made-mina,"('pers ps1',)"
maeitea-mis,maeitea-mis,"('inter rel',)"
magi,mina,"('pers ps1',)"
magneesium-seda,magneesium-see,"('dem',)"
magnetili-sest,magnetili-see,"('dem',)"
maha.sul,maha.sina,"('pers ps2',)"
mahajätmi-ses,mahajätmi-see,"('dem',)"
mait-see,mait-see,"('dem',)"
maja-see,maja-see,"('dem',)"
majandusuudis-te,majandusuudis-sina,"('pers ps2',)"
mak-sa,mak-sina,"('pers ps2',)"
mak-sa-me,mak-sa-mina,"('pers ps1',)"
mak-si-maal-seks,mak-si-maal-see,"('dem',)"
mak-si-maal-selt,mak-si-maal-see,"('dem',)"
mak-su,mak-sina,"('pers ps2',)"
mak-su-,mak-sina,"('pers ps2',)"
mak-su-koor-mus,mak-su-koor-mina,"('pers ps1',)"
mak-su-mu-seks,mak-su-mu-see,"('dem',)"
mak-sus-ta-mi-sest,mak-sus-ta-mi-see,"('dem',)"
maks-ma,maks-mina,"('pers ps1',)"
maksab-midagi,maksab-miski,"('indef',)"
maksimaal-selt,maksimaal-see,"('dem',)"
maksimumi.ise,maksimumi.ise,"('pos', 'det', 'refl')"
maksja-te,maksja-sina,"('pers ps2',)"
maksmata-midagi,maksmata-miski,"('indef',)"
maksmi-seks,maksmi-see,"('dem',)"
maksu-mus,maksu-mina,"('pers ps1',)"
maksumu-seks,maksumu-see,"('dem',)"
male-taolise,male-taoline,"('dem',)"
manit-seda,manit-see,"('dem',)"
manomeeter-see,manomeeter-see,"('dem',)"
maruli-selt,maruli-see,"('dem',)"
mas-si-li-selt,mas-si-li-see,"('dem',)"
masendu-ses,masendu-see,"('dem',)"
masina.see,masina.see,"('dem',)"
massili-selt,massili-see,"('dem',)"
master-mind,master-mina,"('pers ps1',)"
materjalidel.nemad,materjalidel.tema,"('pers ps3',)"
matshi.too,matshi.too,"('dem',)"
maximumi-kõik,maximumi-kõik,"('det',)"
me,mina,"('pers ps1',)"
me-,mina,"('pers ps1',)"
me-tal,me-tema,"('pers ps3',)"
mee-nu-tas,mee-nu-tema,"('pers ps3',)"
meediaettevõt-teid,meediaettevõt-sina,"('pers ps2',)"
meeldi.ise,meeldi.ise,"('pos', 'det', 'refl')"
meeldi.mingi,meeldi.mingi,"('indef',)"
meeldi.nad,meeldi.tema,"('pers ps3',)"
meeldib-see,meeldib-see,"('dem',)"
meenu-tas,meenu-tema,"('pers ps3',)"
mees-mina,mees-mina,"('pers ps1',)"
meetritKõik,meetritkõik,"('det',)"
mega-palju,mega-palju,"('indef',)"
megi,mina,"('pers ps1',)"
meid,mina,"('pers ps1',)"
meid-,mina,"('pers ps1',)"
meidki,mina,"('pers ps1',)"
meie,mina,"('pers ps1',)"
meie-,mina,"('pers ps1',)"
meie-muu,meie-muu,"('indef',)"
meie-need,meie-see,"('dem',)"
meie-nemad,meie-tema,"('pers ps3',)"
meie-nende,meie-see,"('dem',)"
meie-nende,meie-tema,"('pers ps3',)"
meie-teie,meie-sina,"('pers ps2',)"
meiega,mina,"('pers ps1',)"
meiegagi,mina,"('pers ps1',)"
meiegi,mina,"('pers ps1',)"
meieks,mina,"('pers ps1',)"
meiena,mina,"('pers ps1',)"
meieni,mina,"('pers ps1',)"
meienigi,mina,"('pers ps1',)"
meiesugune,meiesugune,"('dem',)"
meiesuguse,meiesugune,"('dem',)"
meiesugused,meiesugune,"('dem',)"
meiesugusega,meiesugune,"('dem',)"
meiesuguseid,meiesugune,"('dem',)"
meiesuguseks,meiesugune,"('dem',)"
meiesugusel,meiesugune,"('dem',)"
meiesugusele,meiesugune,"('dem',)"
meiesuguselgi,meiesugune,"('dem',)"
meiesuguselt,meiesugune,"('dem',)"
meiesuguses,meiesugune,"('dem',)"
meiesugusest,meiesugune,"('dem',)"
meiesugust,meiesugune,"('dem',)"
meiesuguste,meiesugune,"('dem',)"
meiesugustega,meiesugune,"('dem',)"
meiesugusteks,meiesugune,"('dem',)"
meiesugustel,meiesugune,"('dem',)"
meiesugustele,meiesugune,"('dem',)"
meiesugustelt,meiesugune,"('dem',)"
meiesugustesse,meiesugune,"('dem',)"
meiesugustest,meiesugune,"('dem',)"
meieta,mina,"('pers ps1',)"
meietagi,mina,"('pers ps1',)"
meietaoline,meietaoline,"('dem',)"
meietaolise,meietaoline,"('dem',)"
meietaolised,meietaoline,"('dem',)"
meietaolisele,meietaoline,"('dem',)"
meietaolisi,meietaoline,"('dem',)"
meietaoliste,meietaoline,"('dem',)"
meietaolistega,meietaoline,"('dem',)"
meietaolistel,meietaoline,"('dem',)"
meietaolistele,meietaoline,"('dem',)"
meiks,mina,"('pers ps1',)"
meil,mina,"('pers ps1',)"
meil-,mina,"('pers ps1',)"
meile,mina,"('pers ps1',)"
meile-teile-nendele,meile-teile-see,"('dem',)"
meile-teile-nendele,meile-teile-tema,"('pers ps3',)"
meilegi,mina,"('pers ps1',)"
meilgi,mina,"('pers ps1',)"
meilt,mina,"('pers ps1',)"
meiltki,mina,"('pers ps1',)"
meis,mina,"('pers ps1',)"
meiski,mina,"('pers ps1',)"
meisse,mina,"('pers ps1',)"
meissegi,mina,"('pers ps1',)"
meist,mina,"('pers ps1',)"
meist-,mina,"('pers ps1',)"
meistki,mina,"('pers ps1',)"
meloodia-taolist,meloodia-taoline,"('dem',)"
men-taal-sest,men-taal-see,"('dem',)"
menetlemisel-sel,menetlemisel-see,"('pos', 'det', 'refl')"
mentaliteet-keegi,mentaliteet-keegi,"('indef',)"
mentaliteet.üks,mentaliteet.üks,"('dem', 'indef')"
mer-kan-tii-li-su-sest,mer-kan-tii-li-su-see,"('dem',)"
mereteelNad,mereteeltema,"('pers ps3',)"
met-sa,met-sina,"('pers ps2',)"
met-sa-,met-sina,"('pers ps2',)"
